,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,id_name,extra.address,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.uid,extra.ebikes,extra.has_ebikes,extra.bike_uids,extra.number,extra.slots
4470,1,0,a376b911fe304a126680336141571e55,41.909414,-87.765817,Public Rack - Central Ave & North Ave,2022-10-30T00:57:55.448000Z,divvy,"North Ave & Central WB, West North Avenue, Beat 2531, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60302, United States",1662499114.0,,,1.0,1.0,1674190226662107538,0.0,True,,,
4471,2,0,d51b71b7fc02abc9db102aec588824b9,41.790565,-87.710992,"Public Rack - Senka ""Edward Duke"" Park",2022-10-30T00:57:55.960000Z,divvy,"5633, South Saint Louis Avenue, Garfield Manor, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60629, United States",1662512332.0,,,1.0,1.0,1674190613209164834,0.0,True,,,
4472,2,0,b3e9d99c8922965ece664e5ddd39e8b2,41.713437,-87.564405,Public Rack - Yates Ave & 100th St,2022-10-30T00:57:54.774000Z,divvy,"10009, South Yates Avenue, Trumbull Park Terrace, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",1662512953.0,,,1.0,1.0,1674190694813543598,0.0,True,,,
4473,1,1,9d18917156124ae08cc08bf4e5675172,41.998481,-87.69985,Public Rack - California Ave & Devon Ave - NW,2022-10-30T00:57:54.395000Z,divvy,"6432, North California Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",1662499015.0,,,1.0,1.0,1674190213777205620,1.0,True,,,
4474,10,0,360d856f6c1268bfb258d382fe310258,41.822632,-87.695024,Public Rack - California Ave & Pershing Rd,2022-10-30T00:57:54.396000Z,divvy,"Former CPD Station, 3900, South California Avenue, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",1662483411.0,,,1.0,1.0,1674190213777205626,0.0,True,,,
4475,1,0,55349b6ffb8a38d16ee907efe8a792c8,41.8608706,-87.695681,Public Rack - California Ave & Ogden Ave,2022-10-30T00:57:54.397000Z,divvy,"Mount Sinai Hospital, 1500, South Fairfield Avenue, North Lawndale, Chicago, Cook County, Illinois, 60608, United States",1662499023.0,,,1.0,1.0,1674190213777205624,0.0,True,,,
4476,2,0,b27d2b33eca542f5c55b29daf3f5eef2,41.728525,-87.608231,Public Rack - Burnside Academy,2022-10-30T00:57:56.610000Z,divvy,"Burnside Scholastic Academy, East 91st Place, Dauphin Park, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",1662483405.0,,,1.0,1.0,1674190209482238318,0.0,True,,,
4477,1,0,ab9608144a3f4c817bd565629592d370,41.740086,-87.604743,Public Rack - Cottage Grove & 85th St,2022-10-30T00:57:54.868000Z,divvy,Cottage Grove & 85th St,1662483786.0,,,1.0,1.0,1674190265316813262,0.0,True,,,
4478,1,0,82c6d5d714f4dae86e03f7061d19d407,41.722484,-87.565738,Public Rack - Oglesby Ave & 95th St,2022-10-30T00:57:56.635000Z,divvy,"ALDI, 2333, East 95th Street, Calumet Heights, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",1662487170.0,,,1.0,1.0,1674190540194720688,0.0,True,,,
4479,1,0,6d60984b2a6cd604acea521bd6ef3589,41.779334,-87.683768,Public Rack - 63rd & Western Ave N,2022-10-30T00:57:54.778000Z,divvy,"6244-6258, South Western Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60643, United States",1662482582.0,,,1.0,1.0,1674190140762761460,0.0,True,,,
